epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.9602903127670288,8.294175148010254,0.05657195299863815,1.925824522972107,17.363933563232422,1e-04,0.9926547408103943,5.477241039276123,0.08862195163965225,1.9742101430892944,11.717459678649902
1,0.9926699995994568,5.2936859130859375,0.07453703135251999,1.7833521366119385,10.19696044921875,1e-04,0.9926547408103943,5.2913818359375,0.0879073366522789,1.92129647731781,9.538211822509766
2,0.9926693439483643,5.214788913726807,0.08206246793270111,1.744055986404419,8.898889541625977,1e-04,0.9926547408103943,5.319343090057373,0.09245893359184265,1.8523553609848022,8.82280158996582
3,0.9926695823669434,5.159937381744385,0.09315822273492813,1.6648262739181519,8.31220531463623,1e-04,0.9926547408103943,5.295023441314697,0.11302827298641205,1.7713589668273926,8.419139862060547
4,0.9926666617393494,5.087462902069092,0.10578982532024384,1.502916932106018,7.8569722175598145,1e-04,0.9926547408103943,5.2442193031311035,0.12097552418708801,1.6358405351638794,8.064931869506836
5,0.9926647543907166,5.016322612762451,0.11318331956863403,1.3927510976791382,7.537686347961426,1e-04,0.9926547408103943,5.280806541442871,0.1223081573843956,1.5784956216812134,7.933196544647217
6,0.9926681518554688,4.887106418609619,0.12879341840744019,1.3058053255081177,7.2300872802734375,1e-04,0.9926573634147644,5.210622310638428,0.2097625881433487,1.473539113998413,7.681588172912598
7,0.9926639795303345,4.7764081954956055,0.1984919011592865,1.2532926797866821,7.000252723693848,1e-04,0.9926599264144897,5.056368350982666,0.24550998210906982,1.3868521451950073,7.384027481079102
8,0.9926607012748718,4.664735317230225,0.2107546031475067,1.208161473274231,6.7924418449401855,1e-04,0.9926627278327942,4.9891815185546875,0.19065728783607483,1.340514063835144,7.224462509155273
9,0.992660641670227,4.542736053466797,0.2115844190120697,1.1691248416900635,6.590920448303223,1e-04,0.9926661252975464,4.889995098114014,0.21856559813022614,1.3081085681915283,7.057769298553467
10,0.9926580786705017,4.449984073638916,0.21681925654411316,1.1474378108978271,6.444958686828613,1e-04,0.9926696419715881,4.850642204284668,0.1692882627248764,1.2917472124099731,6.9735260009765625
11,0.9926677942276001,4.338363170623779,0.20902667939662933,1.1182461977005005,6.277853012084961,1e-04,0.9926692247390747,4.852877140045166,0.17765964567661285,1.279146432876587,6.9400410652160645
12,0.9926847815513611,4.232987403869629,0.20720034837722778,1.0985455513000488,6.132116317749023,1e-04,0.9926672577857971,4.766209125518799,0.14358706772327423,1.2532808780670166,6.809596061706543
13,0.9926981925964355,4.137228488922119,0.20674724876880646,1.0825409889221191,6.004889011383057,1e-04,0.9926518797874451,4.721794605255127,0.12251776456832886,1.252626895904541,6.750327110290527
14,0.9927206039428711,4.051632404327393,0.21816623210906982,1.057753086090088,5.881503582000732,1e-04,0.9926271438598633,4.668425559997559,0.12732824683189392,1.230924367904663,6.664199352264404
15,0.9927486181259155,3.964141368865967,0.22468818724155426,1.036502480506897,5.762368679046631,1e-04,0.992615282535553,4.599845886230469,0.12983731925487518,1.2212613821029663,6.57673978805542
16,0.9927625060081482,3.8967652320861816,0.23141507804393768,1.01768958568573,5.6684794425964355,1e-04,0.9926120638847351,4.638111114501953,0.1236533597111702,1.2463327646255493,6.633881568908691
17,0.9927882552146912,3.821800947189331,0.22802022099494934,1.0004292726516724,5.570286273956299,1e-04,0.9926080703735352,4.479376316070557,0.15932883322238922,1.2069432735443115,6.430211544036865
18,0.992834210395813,3.710317373275757,0.23216670751571655,0.9763790965080261,5.430846691131592,1e-04,0.9925761818885803,4.553922653198242,0.170624241232872,1.2434842586517334,6.538924694061279
19,0.9928885102272034,3.587822437286377,0.2344590723514557,0.9575943350791931,5.287971019744873,1e-04,0.9925712943077087,4.392813682556152,0.22477926313877106,1.1913933753967285,6.325037002563477
20,0.9929429292678833,3.480802059173584,0.23965749144554138,0.9402873516082764,5.16254997253418,1e-04,0.992612898349762,4.376555919647217,0.21748432517051697,1.1971895694732666,6.314371109008789
21,0.9930033683776855,3.376614809036255,0.2420269399881363,0.9258604645729065,5.044797420501709,1e-04,0.9925414323806763,4.272045135498047,0.23122838139533997,1.1569339036941528,6.171107292175293
22,0.9930814504623413,3.2591395378112793,0.24829210340976715,0.9023401737213135,4.9052886962890625,1e-04,0.9925956130027771,4.22362756729126,0.2539057731628418,1.157767415046692,6.125176906585693
23,0.9931635856628418,3.1459014415740967,0.2448338121175766,0.8781511783599854,4.76970100402832,1e-04,0.9924741387367249,4.162388324737549,0.24831941723823547,1.1477305889129639,6.055394172668457
24,0.9932995438575745,3.0089051723480225,0.25037145614624023,0.846853494644165,4.602838516235352,1e-04,0.9926472902297974,4.0399885177612305,0.25188666582107544,1.1346163749694824,5.92138671875
25,0.9934120774269104,2.8986940383911133,0.2490173578262329,0.8225711584091187,4.470390796661377,1e-04,0.992670476436615,4.01847505569458,0.24695883691310883,1.1131538152694702,5.881227016448975
26,0.993536651134491,2.7943170070648193,0.2500554919242859,0.8035438656806946,4.349415302276611,1e-04,0.992675244808197,3.9159700870513916,0.2622355818748474,1.0900200605392456,5.758101940155029
27,0.9936471581459045,2.6870176792144775,0.242498517036438,0.779527485370636,4.220293045043945,1e-04,0.9926291108131409,3.8202009201049805,0.2619844973087311,1.0839091539382935,5.658990859985352
28,0.9937657713890076,2.6001315116882324,0.2414596825838089,0.7599248290061951,4.115841865539551,1e-04,0.9927303194999695,3.789489507675171,0.24549061059951782,1.0895962715148926,5.635715961456299
29,0.9939013123512268,2.492692470550537,0.23867399990558624,0.740204930305481,3.9903218746185303,1e-04,0.9926664233207703,3.9026386737823486,0.2489577978849411,1.0973536968231201,5.7581048011779785
30,0.9940500855445862,2.3895304203033447,0.23367281258106232,0.7170191407203674,3.865558624267578,1e-04,0.9927269816398621,3.8751511573791504,0.2303212434053421,1.098571538925171,5.733699321746826
31,0.9941858053207397,2.285473346710205,0.23110121488571167,0.6945796608924866,3.7404026985168457,1e-04,0.9928238391876221,3.8993637561798096,0.2396218180656433,1.0793229341506958,5.739201545715332
32,0.9943304657936096,2.1921613216400146,0.22782325744628906,0.6759220957756042,3.629288911819458,1e-04,0.9929443001747131,3.8227033615112305,0.2428443878889084,1.0601603984832764,5.644593238830566
33,0.9944586157798767,2.1131443977355957,0.22995419800281525,0.6516459584236145,3.526522159576416,1e-04,0.9929283261299133,3.839364767074585,0.2357693910598755,1.048413872718811,5.649764060974121
34,0.9946132302284241,2.013139009475708,0.23053067922592163,0.6297615170478821,3.404446601867676,1e-04,0.9928984642028809,3.8723161220550537,0.23753026127815247,1.0702617168426514,5.704102039337158
35,0.9947451949119568,1.9322847127914429,0.23294253647327423,0.6063658595085144,3.299649477005005,1e-04,0.993009626865387,3.8113417625427246,0.23385754227638245,1.0474064350128174,5.619816780090332
36,0.9948686361312866,1.8633311986923218,0.23105667531490326,0.5906304717063904,3.214075803756714,1e-04,0.9930019378662109,3.7621634006500244,0.2141888588666916,1.0715185403823853,5.593130588531494
37,0.9950038194656372,1.784420371055603,0.2308780550956726,0.5710092186927795,3.1133816242218018,1e-04,0.9929699897766113,4.084934711456299,0.23791734874248505,1.0761168003082275,5.917846202850342
38,0.9951258897781372,1.7230284214019775,0.2347889095544815,0.5503473877906799,3.0288100242614746,1e-04,0.9930936694145203,3.775291919708252,0.23997990787029266,1.0381979942321777,5.567376136779785
39,0.9952407479286194,1.6675643920898438,0.23405002057552338,0.5352936387062073,2.955221652984619,1e-04,0.9931186437606812,3.950554132461548,0.23351803421974182,1.0597013235092163,5.761486053466797
40,0.9953680634498596,1.6040035486221313,0.23283115029335022,0.5205582976341248,2.8743786811828613,1e-04,0.9931202530860901,3.7941956520080566,0.21911732852458954,1.0188286304473877,5.561003684997559
41,0.9954763054847717,1.553318738937378,0.2311900407075882,0.5021337270736694,2.80145525932312,1e-04,0.9932122230529785,3.638826847076416,0.23795844614505768,0.978432297706604,5.360930919647217
42,0.9955907464027405,1.5024136304855347,0.2289086878299713,0.4840661585330963,2.728065252304077,1e-04,0.9932835102081299,3.7186386585235596,0.23399627208709717,1.0071419477462769,5.465676307678223
43,0.9956873059272766,1.4564470052719116,0.2259264588356018,0.47410115599632263,2.668200731277466,1e-04,0.9933366775512695,3.659104347229004,0.22368764877319336,1.048709511756897,5.443236827850342
44,0.9957830905914307,1.4199302196502686,0.22127443552017212,0.46115753054618835,2.614159345626831,1e-04,0.9933744668960571,3.701244354248047,0.20166140794754028,0.9901638627052307,5.422457695007324
45,0.9958572387695312,1.3936433792114258,0.2205154448747635,0.45283129811286926,2.575664758682251,1e-04,0.9933971762657166,3.731598138809204,0.21949218213558197,1.0153266191482544,5.473803997039795
46,0.9959710240364075,1.3443264961242676,0.21984322369098663,0.44106003642082214,2.510145425796509,1e-04,0.993358850479126,3.9394466876983643,0.22585812211036682,1.054267168045044,5.715554237365723
47,0.9960399270057678,1.3154562711715698,0.21998484432697296,0.4322294592857361,2.467517614364624,1e-04,0.9934760332107544,3.746999979019165,0.19816464185714722,0.9675939083099365,5.431873798370361
48,0.9961198568344116,1.2902992963790894,0.21569286286830902,0.4236695170402527,2.4293768405914307,1e-04,0.9935250282287598,3.828451633453369,0.22921033203601837,0.9416389465332031,5.483078479766846
49,0.9962226748466492,1.2480894327163696,0.21131284534931183,0.41017159819602966,2.3688347339630127,1e-04,0.9935973286628723,3.708875894546509,0.20055951178073883,0.9611783027648926,5.377577781677246
50,0.9962961673736572,1.2245746850967407,0.21230563521385193,0.4006674289703369,2.329751968383789,1e-04,0.9935331344604492,3.8116977214813232,0.20397448539733887,0.9718055725097656,5.485072135925293
51,0.9963536262512207,1.1994714736938477,0.20952315628528595,0.39199158549308777,2.2904789447784424,1e-04,0.9936435222625732,3.7264976501464844,0.21031993627548218,0.9423414468765259,5.364691734313965
