epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
0,0.908993124961853,3.6079418659210205,0.1830754429101944,0.11559350788593292,5.1830854415893555,1e-04,0.999771237373352,2.589247465133667,0.23611363768577576,0.1521446704864502,3.347519636154175
1,0.9997895956039429,1.918102502822876,0.15624897181987762,0.10728496313095093,2.4668703079223633,1e-04,0.999771237373352,2.2069151401519775,0.17112849652767181,0.12250059098005295,2.6815412044525146
2,0.9997893571853638,1.845140814781189,0.09995010495185852,0.10431896895170212,2.257371664047241,1e-04,0.999771237373352,2.0673182010650635,0.09106626361608505,0.11523520946502686,2.4608314037323
3,0.9997895956039429,1.7969986200332642,0.07058440893888474,0.10271184146404266,2.1560773849487305,1e-04,0.999771237373352,2.083670139312744,0.06002519652247429,0.11784495413303375,2.4445748329162598
4,0.9997900724411011,1.7402074337005615,0.06459798663854599,0.10130644589662552,2.072021961212158,1e-04,0.999771237373352,2.087064504623413,0.05665910989046097,0.11473572999238968,2.426560640335083
5,0.9997901916503906,1.671555757522583,0.06495187431573868,0.09911956638097763,1.9887410402297974,1e-04,0.99977046251297,2.2295665740966797,0.05329554155468941,0.1200968399643898,2.567335367202759
6,0.9997900724411011,1.591439127922058,0.06586373597383499,0.09748248010873795,1.9030852317810059,1e-04,0.9997646808624268,2.191117525100708,0.05489720404148102,0.1137266606092453,2.520231246948242
7,0.9997900724411011,1.5043610334396362,0.0683101937174797,0.09495086967945099,1.8121227025985718,1e-04,0.9997684359550476,2.3557145595550537,0.05990224331617355,0.12132449448108673,2.6920266151428223
8,0.999792754650116,1.40620756149292,0.06774880737066269,0.09278446435928345,1.7136784791946411,1e-04,0.99974125623703,2.2039055824279785,0.05972915142774582,0.11775422096252441,2.540050983428955
9,0.9997913837432861,1.309878945350647,0.07237667590379715,0.0909063071012497,1.6201837062835693,1e-04,0.9997304081916809,2.3487789630889893,0.06724338978528976,0.12259325385093689,2.6950886249542236
10,0.9997919201850891,1.2132608890533447,0.07609489560127258,0.0890539288520813,1.5254733562469482,1e-04,0.9997422695159912,2.327636480331421,0.07546107470989227,0.1319189816713333,2.6870625019073486
11,0.9997764229774475,1.115965485572815,0.07865540683269501,0.08726389706134796,1.430109977722168,1e-04,0.9997518062591553,2.1212239265441895,0.07533736526966095,0.11593213677406311,2.467593193054199
12,0.9997765421867371,1.0205391645431519,0.08302562683820724,0.08560648560523987,1.3352560997009277,1e-04,0.9997439980506897,2.56067156791687,0.08257672190666199,0.13687406480312347,2.930229663848877
13,0.9997745752334595,0.9377630352973938,0.08673781156539917,0.08429547399282455,1.2535746097564697,1e-04,0.9996049404144287,2.487745523452759,0.08264902979135513,0.11953842639923096,2.84171986579895
14,0.9997702836990356,0.8583617806434631,0.09324698895215988,0.08211763203144073,1.174337387084961,1e-04,0.9996780157089233,2.386153221130371,0.10083849728107452,0.1188630536198616,2.7418723106384277
15,0.9997731447219849,0.8120611906051636,0.10415565222501755,0.08119740337133408,1.12798273563385,1e-04,0.9996976852416992,1.8262572288513184,0.11115117371082306,0.1132294312119484,2.1792490482330322
16,0.9997694492340088,0.7512277960777283,0.11496184021234512,0.07924995571374893,1.066882610321045,1e-04,0.9996210336685181,2.3152029514312744,0.1338626891374588,0.1169106587767601,2.671441078186035
17,0.9997705817222595,0.6793974041938782,0.1252887099981308,0.07864046096801758,0.99547278881073,1e-04,0.9996802806854248,2.2814528942108154,0.13587956130504608,0.12086664140224457,2.643519878387451
18,0.9997678995132446,0.6341663002967834,0.13863547146320343,0.07586807757616043,0.9487190842628479,1e-04,0.9996535778045654,2.203108787536621,0.16199621558189392,0.11436806619167328,2.560178279876709
19,0.9997726082801819,0.5926470160484314,0.15501517057418823,0.07413831353187561,0.9058268666267395,1e-04,0.9997062087059021,2.3707072734832764,0.17463164031505585,0.1121244952082634,2.7245962619781494
