,epoch,conf_accuracy,conf_loss,loc_accuracy,loc_loss,loss,lr,val_conf_accuracy,val_conf_loss,val_loc_accuracy,val_loc_loss,val_loss
52,52,0.998244226,0.485394388,0.150100157,0.162952051,1.231726289,8e-05,0.995148242,1.3673964979999997,0.150837138,0.208932781,2.113276482
53,53,0.998267591,0.476928234,0.150459528,0.161427513,1.21986413,8e-05,0.995196342,1.3396059509999998,0.155983493,0.22152557400000006,2.0956254010000004
54,54,0.998262167,0.485759825,0.150720567,0.162160546,1.228424668,8e-05,0.99514842,1.3665100569999997,0.131338507,0.21878328300000005,2.06214587
55,55,0.998291194,0.470024079,0.149454728,0.160886511,1.209774852,8e-05,0.995033503,1.6851459979999999,0.139237255,0.28299989700000006,2.1047890000000002
56,56,0.998315275,0.459256351,0.147571504,0.158220276,1.193965435,8e-05,0.99516356,1.495629692,0.156626925,0.25738199900000003,2.0235579
57,57,0.998332858,0.455768079,0.149040371,0.157205939,1.187441587,8e-05,0.995240808,1.3224832059999998,0.140195772,0.21442087900000006,1.9847860000000002
58,58,0.998342991,0.45046553,0.150029331,0.155494034,1.178228259,8e-05,0.99522984,1.4135052199999998,0.141989589,0.20644810199999997,2.0124788999999996
59,59,0.998376906,0.443520576,0.151007414,0.154366553,1.168219566,8e-05,0.99527365,1.355807686,0.142208144,0.22262426600000007,1.764879
60,60,0.998043001,0.571850419,0.151712388,0.174711525,1.318908215,1e-05,0.995658219,1.0214579929999998,0.150454864,0.19786378100000002,1.6235469999999999
61,61,0.998209,0.50215739,0.150545523,0.165116832,1.239023209,1e-05,0.995711565,1.013478992,0.150927216,0.19824650300000002,1.58974
62,62,0.998297215,0.465535104,0.150599539,0.158996195,1.196215749,1e-05,0.995733976,1.05214789,0.150026664,0.19868871,1.5647799999999998
63,63,0.99835825,0.442387789,0.150596082,0.15552029,1.169658542,1e-05,0.995732963,1.002145789,0.152353495,0.20225932600000007,1.57849
64,64,0.998401046,0.429185539,0.150740489,0.152564004,1.153592229,1e-05,0.995742559,0.989456713,0.151485756,0.19872095600000006,1.5698699999999999
65,65,0.998432338,0.415745258,0.150952026,0.150131375,1.13771224,1e-05,0.995760024,0.9947125629999998,0.150242165,0.19449766899999998,1.556324
66,66,0.998461246,0.406443536,0.151121557,0.148047253,1.126300573,1e-05,0.995752811,1.0021452389999999,0.149266258,0.19531025899999999,1.5404443739999998
67,67,0.998488665,0.398387849,0.15161097,0.14639546,1.116494417,1e-05,0.99577415,1.0124578,0.150618568,0.18596687300000003,1.51838541
68,68,0.998510301,0.391538054,0.151200533,0.144849464,1.107956648,1e-05,0.995797753,0.98966244,0.149645984,0.18677457600000003,1.51286459
69,69,0.998524189,0.386412293,0.151546732,0.143985823,1.101711988,1e-05,0.995764613,0.9966513699999999,0.149709016,0.19566687300000007,1.5214789
