class,filename
bhimsen temple_PDS,381
char narayan temple,328
chyasim deval,346
garud statue,367
harishankar temple,355
krishna mandir,522
mani ganesh temple,171
mani mandap,249
royal palace_PDS,181
taleju bell_PDS,247
taleju temple north,280
taleju temple south,209
vishwanath temple,598
yogendra malla statue,113
